"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long","quant","fit","resid","stdev"
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0029",0.029,"ppm",30.039534,-95.6739,1,0.0227046912532545,0.00629530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0416",0.02,"ppm",29.686389,-95.294722,1,0.0227046912532545,-0.00270469125325447,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-1039",0.028,"ppm",29.670025,-95.128508,1,0.0227046912532545,0.00529530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-1034",0.019,"ppm",29.767971,-95.220587,1,0.0227046912532545,-0.00370469125325447,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0055",0.023,"ppm",29.695744,-95.499262,1,0.0227046912532545,0.000295308746745531,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0066",0.024,"ppm",29.724722,-95.503611,1,0.0227046912532545,0.00129530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-167-1034",0.031,"ppm",29.254474,-94.861289,1,0.0227046912532545,0.00829530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-039-1016",0.024,"ppm",29.043759,-95.472946,1,0.0227046912532545,0.00129530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0046",0.024,"ppm",29.828086,-95.284096,1,0.0227046912532545,0.00129530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-1015",0.025,"ppm",29.761653,-95.081386,1,0.0227046912532545,0.00229530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-339-0078",0.03,"ppm",30.350302,-95.425128,1,0.0227046912532545,0.00729530874674553,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0070",0.022,"ppm",29.735129,-95.315583,1,0.0227046912532545,-0.00070469125325447,0.00624178932252342
"2011-01-11",51,37,44,25,21,0,717,1741,0,30.47,14.8,"48-201-0075",0.019,"ppm",29.752778,-95.350278,1,0.0227046912532545,-0.00370469125325447,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0026",0.035,"ppm",29.802707,-95.125495,1,0.0213365952326056,0.0136634047673944,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-167-1034",0.03,"ppm",29.254474,-94.861289,1,0.0213365952326056,0.00866340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0055",0.026,"ppm",29.695744,-95.499262,1,0.0213365952326056,0.00466340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0416",0.023,"ppm",29.686389,-95.294722,1,0.0213365952326056,0.00166340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0047",0.021,"ppm",29.834722,-95.489167,1,0.0213365952326056,-0.000336595232605631,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-1035",0.025,"ppm",29.733726,-95.257593,1,0.0213365952326056,0.00366340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0024",0.029,"ppm",29.901037,-95.326125,1,0.0213365952326056,0.00766340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0062",0.022,"ppm",29.625833,-95.2675,1,0.0213365952326056,0.000663404767394366,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-1050",0.03,"ppm",29.583047,-95.015544,1,0.0213365952326056,0.00866340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0051",0.026,"ppm",29.623611,-95.473611,1,0.0213365952326056,0.00466340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0029",0.035,"ppm",30.039534,-95.6739,1,0.0213365952326056,0.0136634047673944,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-339-0078",0.032,"ppm",30.350302,-95.425128,1,0.0213365952326056,0.0106634047673944,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-039-1004",0.027,"ppm",29.520443,-95.392509,1,0.0213365952326056,0.00566340476739437,0.00624178932252342
"2011-01-12",49,30,40,16,25,0,717,1742,0,30.6,9.7,"48-201-0046",0.025,"ppm",29.828086,-95.284096,1,0.0213365952326056,0.00366340476739437,0.00624178932252342
