"","iphash","fingerprint","ipid","q","skip","type","ntrials","startweight","endweight","modeweight","len","unique.weights","time.trial","training","post.training","fingerid"
"1","014b1445de73012cf64076c8ee3fec1d","07883685097d9b8abdfa7387cab7a692","99.250.17",0,0,"x",2,0.0999999999999996,0.0999999999999996,0.0999999999999996,5,3,18,TRUE,FALSE,6
"2","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",0,0,"x",16,0,0.2,0,3,3,9,TRUE,FALSE,72
"3","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",1,0,"y",16,0.0999999999999996,0,0,6,4,49,TRUE,FALSE,72
"4","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",2,0,"y",16,-0.25,0.0999999999999996,-0.25,5,4,19,FALSE,TRUE,72
"5","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",3,0,"y",16,1,0.8,1,11,8,43,FALSE,TRUE,72
"6","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",5,0,"x",16,0,-0.75,0,4,4,1.08333333333333,FALSE,TRUE,72
"7","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",7,0,"y",16,0.575,0.65,0.575,6,5,22,FALSE,TRUE,72
"8","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",10,0,"x",16,0.35,0.4,0.35,4,3,19,FALSE,TRUE,72
"9","028581fea67679172b7379e9aa84a50c","54ff51ecd0e72fc5e6481091b3f9b429","98.21.67",11,0,"y",16,0.75,0.675,0.75,12,5,39,FALSE,TRUE,72
"10","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",0,0,"y",2,0.0999999999999996,0.2,0.2,16,12,39,FALSE,FALSE,135
"11","02fa6fe70107e0a9974f3e9502ee0a94","9c1d8870d1e854ca55b385a84630a5a0","72.68.1",1,0,"x",2,0.75,0.85,0.85,6,5,18,FALSE,FALSE,135
"12","03a507ed1075fae83c946a3cab41f942","c47a09a35588beae4176effcce90cf72","122.178.185",0,0,"x",1,0.0999999999999996,5,0.0999999999999996,141,52,3.36666666666667,TRUE,FALSE,164
"13","03de4440505c7a8a4bd12d4c3d723df8","f4c9f96ccdc5d2d89befdfa04785fd63","86.167.117",0,0,"y",1,0.0999999999999996,0.525,0.0999999999999996,9,9,10,FALSE,FALSE,195
"14","0511bf011c7d6aca69d3886570c0f3c4","8b97d27cebddeaaca2ef784d7f5dd58f","216.220.248",0,0,"x",4,0.0999999999999996,0,0.0999999999999996,20,10,50,TRUE,FALSE,119
"15","0c7a8b314184066b55f9d5f155a069b6","764917b3c0254f9b1a01b63ab860eabb","137.22.172",0,0,"x",2,0.0999999999999996,0.2,0.0999999999999996,12,6,20,TRUE,FALSE,103
"16","0cd1879753397b4fa718b4f647f6a42d","09b6960ee5145c21a721c02b70d0e8fc","131.231.195",0,0,"y",2,0.0999999999999996,0.2,0.25,95,36,2.43333333333333,FALSE,FALSE,8
"17","0cfde41b2fc87a2a71c1fa0b4d1dd461","aebb127288565684866f19a5ab8b43cd","24.209.71",0,0,"x",1,0.0999999999999996,1,0.35,52,24,45,TRUE,FALSE,147
"18","0dd4d7fb4242bbd52a795dab7dfdc04f","edab4851965e4b50b926cd7cd2eaee7a","108.11.214",0,0,"x",1,0.0999999999999996,0,0.0999999999999996,22,12,24,TRUE,FALSE,192
"19","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",0,0,"x",13,0.0999999999999996,0.35,0.35,6,5,37,TRUE,FALSE,136
"20","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",1,0,"y",13,0.4,-0.75,0.4,38,38,1,TRUE,FALSE,136
"21","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",2,0,"x",13,0.55,-0.75,0.55,14,14,28,FALSE,TRUE,136
"22","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",3,0,"y",13,1,0.0999999999999996,0.0999999999999996,30,27,47,FALSE,TRUE,136
"23","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",4,0,"y",13,0,0.2,0,3,3,12,FALSE,TRUE,136
"24","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",5,0,"y",13,0.5,0.2,0.5,7,7,14,FALSE,TRUE,136
"25","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",6,0,"y",13,0.55,0.2,0.55,9,9,14,FALSE,TRUE,136
"26","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",7,0,"x",13,0.5,-0.75,-0.75,56,33,1.06666666666667,FALSE,TRUE,136
"27","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",8,0,"x",13,1,-0.75,1,28,28,28,FALSE,TRUE,136
"28","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",9,0,"x",13,0,-0.75,0,4,4,5,FALSE,TRUE,136
"29","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",10,0,"x",13,0.25,-0.5,0.25,7,7,6,FALSE,TRUE,136
"30","0f9f43233f75ec4d1b49bc2e6233891e","9efc0c3084ae676ee89b63e424ad0d3b","71.246.91",11,0,"y",13,0.35,0.2,0.2,26,15,38,FALSE,TRUE,136
"31","0fdd83c05fdbd7ac28638578bed6126d","fff843074c6d7b5a7f49b4316ed3afa1","69.159.113",0,0,"x",2,0.0999999999999996,0.7,0.7,18,17,36,FALSE,FALSE,206
"32","0fdfc216cf365ab509e62d4c2b6bc9af","920de3a67e500bf70c5816d82db6a1b4","88.230.250",0,0,"x",2,-0.25,0,-0.25,14,8,21,FALSE,FALSE,126
"33","0fdfc216cf365ab509e62d4c2b6bc9af","920de3a67e500bf70c5816d82db6a1b4","88.230.250",1,0,"y",2,0.25,0,0.25,4,4,12,FALSE,FALSE,126
"34","1110eee6166f1327139db0c72d05f637","b90a39e2ac1d4980fffdbc2813687ab3","166.147.72",0,0,"x",1,0.0999999999999996,0.35,0.0999999999999996,5,5,3,TRUE,FALSE,153
"35","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",0,0,"x",15,0.0999999999999996,0.3,0.0999999999999996,11,5,22,TRUE,FALSE,57
"36","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",1,0,"y",15,0.35,0.5,0.5,8,6,4,TRUE,FALSE,57
"37","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",2,0,"x",15,0.25,-0.5,0.25,13,10,12,FALSE,TRUE,57
"38","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",3,0,"x",15,0,-3.5,-1,14,12,21,FALSE,TRUE,57
"39","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",4,0,"y",15,-4,0.25,-4,16,16,34,FALSE,TRUE,57
"40","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",5,0,"x",15,0.3,0.55,0.3,7,7,10,FALSE,TRUE,57
"41","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",6,0,"x",15,1,1.2,1,3,3,8,FALSE,TRUE,57
"42","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",7,0,"y",15,1.1,1.75,1.1,34,20,28,FALSE,TRUE,57
"43","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",8,0,"y",15,0.3,0.4,0.3,3,3,6,FALSE,TRUE,57
"44","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",9,0,"y",15,0.25,0.0999999999999996,0.25,3,3,3,FALSE,TRUE,57
"45","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",10,0,"x",15,0.5,0.575,0.5,4,4,5,FALSE,TRUE,57
"46","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",11,0,"y",15,0.575,0.65,0.575,4,4,5,FALSE,TRUE,57
"47","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",12,0,"x",15,0.3,0.35,0.3,4,3,8,FALSE,TRUE,57
"48","127cf14537b97514f226cd9ffedbb212","3fbaa6dcd333652866b644fe578313de","208.54.45",13,0,"x",15,0,0.7,0,17,17,20,FALSE,TRUE,57
"49","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",0,0,"x",13,0.0999999999999996,0.0999999999999996,0.0999999999999996,11,10,2.01666666666667,TRUE,FALSE,40
"50","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",1,0,"y",13,0,0,0,11,5,50,TRUE,FALSE,40
"51","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",2,0,"y",13,-0.25,0.0999999999999996,-0.25,5,4,14,FALSE,TRUE,40
"52","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",3,0,"y",13,0.6,0.65,0.6,3,3,17,FALSE,TRUE,40
"53","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",4,0,"x",13,0.675,0,0,38,26,41,FALSE,TRUE,40
"54","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",5,0,"x",13,1,0.9,1,3,3,5,FALSE,TRUE,40
"55","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",5,0,"y",13,0.8,0.75,0.8,3,3,5,FALSE,TRUE,40
"56","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",6,0,"y",13,0,0.0999999999999996,0,8,4,21,FALSE,TRUE,40
"57","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",7,0,"y",13,0.55,0.525,0.55,2,2,6,FALSE,TRUE,40
"58","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",8,0,"x",13,0,-0.25,0,12,6,26,FALSE,TRUE,40
"59","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",9,0,"y",13,0.35,0.3,0.35,4,3,10,FALSE,TRUE,40
"60","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",10,0,"y",13,0.5,0.575,0.5,4,4,6,FALSE,TRUE,40
