"","iphash","fingerprint","ipid","q","skip","type","ntrials","startweight","endweight","modeweight","len","unique.weights","time.trial","training","post.training","fingerid"
"61","133d5527a22928958d7dabbb024723f9","2d885f7c07e703311ef2ed2044b5fce0","174.251.97",11,0,"x",13,0.55,0.2,0.55,25,15,34,FALSE,TRUE,40
"62","13f3a89740556a9cb51cca540b6f3c06","c3fd381ce206c27235e6b692bc1890b9","69.165.165",0,0,"x",2,0.625,0.675,0.625,13,7,44,FALSE,FALSE,162
"63","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",0,0,"x",11,0.525,0.75,0.45,6,5,7.46666666666667,FALSE,FALSE,51
"64","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",1,0,"y",11,0,0.0999999999999996,0,4,3,10,FALSE,FALSE,51
"65","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",2,0,"y",11,0.75,0.5,0.725,19,13,30,FALSE,FALSE,51
"66","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",3,0,"x",11,0,0.0999999999999996,0,4,3,9,FALSE,FALSE,51
"67","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",4,0,"x",11,0.75,0.45,0.75,12,12,12,FALSE,FALSE,51
"68","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",5,0,"y",11,0.55,0.35,0.55,18,12,23,FALSE,FALSE,51
"69","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",6,0,"x",11,0.75,0.55,0.75,10,10,6,FALSE,FALSE,51
"70","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",7,0,"x",11,0.6,-0.5,-0.25,26,20,24,FALSE,FALSE,51
"71","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",8,0,"x",11,0.25,0.3,0.25,6,4,9,FALSE,FALSE,51
"72","140c4485c0035633f2b1dba500a91eac","37d6f68d69da28a31932829881af702d","129.186.6",9,0,"x",11,0.5,0.5,0.5,7,4,18,FALSE,FALSE,51
"73","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",0,0,"y",31,0.775,0.85,0.85,5,4,12,FALSE,FALSE,94
"74","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",1,0,"y",31,0,0.5,0,9,9,16,FALSE,FALSE,94
"75","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",2,0,"x",31,0.525,0.85,0.525,13,13,25,FALSE,FALSE,94
"76","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",3,0,"x",31,0.75,1,0.75,7,7,13,FALSE,FALSE,94
"77","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",4,0,"y",31,0.5,0.65,0.65,15,11,20,FALSE,FALSE,94
"78","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",6,0,"y",31,0.25,0.35,0.25,3,3,25,FALSE,FALSE,94
"79","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",7,0,"x",31,0.55,0.6,0.55,4,4,5,FALSE,FALSE,94
"80","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",8,0,"x",31,0.6,0.675,0.6,4,4,5,FALSE,FALSE,94
"81","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",9,0,"x",31,0.75,0.775,0.75,2,2,2,FALSE,FALSE,94
"82","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",10,0,"y",31,0.3,0.45,0.3,17,10,21,FALSE,FALSE,94
"83","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",11,0,"x",31,0,0.2,0,3,3,14,FALSE,FALSE,94
"84","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",12,0,"y",31,0.25,0.4,0.25,4,4,3,FALSE,FALSE,94
"85","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",14,0,"x",31,0.3,0.45,0.3,4,4,10,FALSE,FALSE,94
"86","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",15,0,"y",31,0.55,0.5,0.525,6,4,9,FALSE,FALSE,94
"87","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",16,0,"x",31,0.25,0.35,0.25,11,7,14,FALSE,FALSE,94
"88","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",17,0,"x",31,0.4,0.45,0.4,2,2,1,FALSE,FALSE,94
"89","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",18,0,"y",31,0.4,0.55,0.4,5,5,5,FALSE,FALSE,94
"90","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",19,0,"y",31,0.75,1.4,1.3,22,16,24,FALSE,FALSE,94
"91","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",21,0,"y",31,0,0.4,0,7,7,6,FALSE,FALSE,94
"92","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",22,0,"x",31,0.45,0.45,0.45,2,2,0,FALSE,FALSE,94
"93","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",26,0,"y",31,0.25,0.3,0.25,3,3,2,FALSE,FALSE,94
"94","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",27,0,"x",31,0.55,0.65,0.55,5,5,6,FALSE,FALSE,94
"95","14477bafbb0b0e70f39615af1c77cf7f","68b229ea03ffb792a69ac28935a7fd7e","140.107.181",30,0,"y",31,0.75,0.3,0.75,2,2,1,FALSE,FALSE,94
"96","155d4ae668ea36a3249b9dbed8aa77e2","9857258e7f8802de79f4585f7d01a228","35.11.55",0,0,"x",6,0.0999999999999996,0,0.0999999999999996,9,9,23,FALSE,FALSE,131
"97","155d4ae668ea36a3249b9dbed8aa77e2","9857258e7f8802de79f4585f7d01a228","35.11.55",1,0,"y",6,0.5,0.0999999999999996,0.0999999999999996,14,9,29,FALSE,FALSE,131
"98","155d4ae668ea36a3249b9dbed8aa77e2","9857258e7f8802de79f4585f7d01a228","35.11.55",2,0,"x",6,0.2,-0.25,0.2,4,4,15,FALSE,FALSE,131
"99","155d4ae668ea36a3249b9dbed8aa77e2","9857258e7f8802de79f4585f7d01a228","35.11.55",3,0,"y",6,0,0.0999999999999996,0,4,3,10,FALSE,FALSE,131
"100","155d4ae668ea36a3249b9dbed8aa77e2","9857258e7f8802de79f4585f7d01a228","35.11.55",4,0,"x",6,0.75,0.725,0.75,2,2,13,FALSE,FALSE,131
"101","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",0,0,"x",20,0,0.575,0.575,16,14,15,TRUE,FALSE,67
"102","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",1,0,"y",20,0.6,0.675,0.6,4,4,3,TRUE,FALSE,67
"103","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",2,0,"y",20,0.55,0.5,0.55,3,3,8,FALSE,TRUE,67
"104","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",3,0,"y",20,0,-0.25,0,2,2,6,FALSE,TRUE,67
"105","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",4,0,"y",20,0.35,0.55,0.35,6,6,6,FALSE,TRUE,67
"106","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",5,0,"x",20,0,0.0999999999999996,0.0999999999999996,4,3,5,FALSE,TRUE,67
"107","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",6,0,"x",20,0.55,0,0,17,14,16,FALSE,TRUE,67
"108","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",7,0,"x",20,0.35,0.2,0.35,6,5,9,FALSE,TRUE,67
"109","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",8,0,"y",20,1,1.1,1,2,2,3,FALSE,TRUE,67
"110","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",9,0,"x",20,1,0,0,37,31,24,FALSE,TRUE,67
"111","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",10,0,"x",20,0.55,0.0999999999999996,0.55,10,10,11,FALSE,TRUE,67
"112","15cff57ada2bd9d902d80db905aba8e5","49b49797412d46f9868272f6329fd93c","68.7.9",17,0,"y",20,0.35,0.35,0.35,2,2,0,FALSE,TRUE,67
"113","16608bdcb3b2a1a68400d91f5721e9ab","41e529d3389987cb04f6105c3353369f","190.42.125",0,0,"x",3,0.0999999999999996,0.3,0.25,9,6,19,TRUE,FALSE,60
"114","16608bdcb3b2a1a68400d91f5721e9ab","41e529d3389987cb04f6105c3353369f","190.42.125",1,0,"y",3,0.25,0.45,0.25,5,5,15,TRUE,FALSE,60
"115","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",0,0,"x",13,0,0.55,0,31,21,31,TRUE,FALSE,176
"116","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",1,0,"y",13,0.575,0.675,0.575,5,5,6,TRUE,FALSE,176
"117","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",2,0,"x",13,0.3,0.625,0.3,10,10,11,FALSE,TRUE,176
"118","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",3,0,"y",13,0,0.0999999999999996,0,10,6,18,FALSE,TRUE,176
"119","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",4,0,"x",13,0.35,0.725,0.35,13,13,18,FALSE,TRUE,176
"120","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",5,0,"x",13,1,0.7,1,9,9,14,FALSE,TRUE,176
"121","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",6,0,"x",13,0,0.25,0,12,8,23,FALSE,TRUE,176
"122","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",7,0,"y",13,0.35,0.45,0.35,9,6,27,FALSE,TRUE,176
"123","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",8,0,"y",13,1,0.7,1,11,10,28,FALSE,TRUE,176
"124","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",9,0,"y",13,0.3,0.575,0.3,8,8,22,FALSE,TRUE,176
"125","167ded81edcee2189b75019df283e9dc","d3ff9a72fb89846dad6dc0bbffd17209","108.95.177",10,0,"y",13,0.75,0.625,0.75,8,7,20,FALSE,TRUE,176
"126","1741711cbdfc5cc7dd6908921da6bc1c","ba3c2ce908b2f269ab6932ccc8b00522","77.248.153",0,0,"y",1,-0.25,0.0999999999999996,-0.25,6,5,4,FALSE,FALSE,155
"127","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",0,0,"x",14,0,-0.25,0,4,3,24,TRUE,FALSE,92
"128","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",1,0,"y",14,-0.5,-0.5,-0.5,3,2,31,TRUE,FALSE,92
"129","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",2,0,"x",14,1,0.775,1,12,9,40,FALSE,TRUE,92
"130","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",3,0,"y",14,0.75,0.0999999999999996,0.0999999999999996,22,20,33,FALSE,TRUE,92
"131","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",4,0,"x",14,0,0.35,0,6,6,14,FALSE,TRUE,92
"132","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",5,0,"y",14,0.3,0,0.3,5,5,9,FALSE,TRUE,92
"133","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",6,0,"x",14,0.6,0.525,0.6,4,4,11,FALSE,TRUE,92
"134","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",7,0,"x",14,0.75,0.95,0.75,6,6,16,FALSE,TRUE,92
"135","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",8,0,"y",14,0.3,0.2,0.2,7,5,20,FALSE,TRUE,92
"136","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",9,0,"y",14,0.35,0.2,0.2,6,5,17,FALSE,TRUE,92
"137","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",10,0,"y",14,0.55,0,0,15,13,52,FALSE,TRUE,92
"138","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",11,0,"x",14,0,0.3,0,5,5,9,FALSE,TRUE,92
"139","1b5943f3dc4523a063696162666c6a18","64139d0ec0bf89fdbbc2da71b8e8fe51","64.250.207",12,0,"x",14,0,0.3,0,5,5,14,FALSE,TRUE,92
"140","1c477d9be67f8e21c42f1cc9ad264354","bac71a778c7a08ec69b220474e06d8d7","69.14.64",0,0,"x",5,0.775,0,0.775,41,41,1.1,FALSE,FALSE,156
"141","1c477d9be67f8e21c42f1cc9ad264354","bac71a778c7a08ec69b220474e06d8d7","69.14.64",1,0,"x",5,0,0,0,3,2,10,FALSE,FALSE,156
"142","1c477d9be67f8e21c42f1cc9ad264354","bac71a778c7a08ec69b220474e06d8d7","69.14.64",2,0,"y",5,0.75,0.0999999999999996,0.75,32,31,1.1,FALSE,FALSE,156
"143","1c477d9be67f8e21c42f1cc9ad264354","bac71a778c7a08ec69b220474e06d8d7","69.14.64",3,0,"y",5,0,0.2,0.0999999999999996,9,4,19,FALSE,FALSE,156
"144","1f96572329bd7e34d3016bc2ab272aed","40a13e5ef6812570777d814af80178f3","92.82.30",0,0,"x",3,0.0999999999999996,0,0.0999999999999996,17,14,13,TRUE,FALSE,59
"145","1f96572329bd7e34d3016bc2ab272aed","40a13e5ef6812570777d814af80178f3","92.82.30",2,0,"y",3,1,0.4,1,23,20,32,FALSE,TRUE,59
"146","22636132e40307beaef13cc956fc9d7f","c5fcdcbc8229ce9b4b8955804d76ec3f","121.220.190",0,0,"y",2,0.775,0.625,0.775,11,9,41,FALSE,FALSE,166
"147","2432011040e7ad0d14dcd3f89780814e","c819232cb23d1ad19ecc4e5ebbd79413","68.100.74",0,0,"x",4,-0.25,0.0999999999999996,-0.25,9,6,29,TRUE,FALSE,168
"148","2432011040e7ad0d14dcd3f89780814e","c819232cb23d1ad19ecc4e5ebbd79413","68.100.74",1,0,"y",4,0.2,0.25,0.2,2,2,3,TRUE,FALSE,168
"149","2432011040e7ad0d14dcd3f89780814e","c819232cb23d1ad19ecc4e5ebbd79413","68.100.74",2,0,"x",4,0.6,0.625,0.6,2,2,22,FALSE,TRUE,168
