"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/24/2011","48-039-1004","1","0.02400","ppm","20.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/25/2011","48-039-1004","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/26/2011","48-039-1004","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/27/2011","48-039-1004","1","0.05000","ppm","42.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/28/2011","48-039-1004","1","0.05500","ppm","47.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/29/2011","48-039-1004","1","0.04700","ppm","40.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/30/2011","48-039-1004","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/31/2011","48-039-1004","1","0.03500","ppm","30.00","19","79.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/01/2011","48-039-1004","1","0.03100","ppm","26.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/02/2011","48-039-1004","1","0.03200","ppm","27.00","20","83.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/03/2011","48-039-1004","1","0.03100","ppm","26.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/04/2011","48-039-1004","1","0.03500","ppm","30.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/05/2011","48-039-1004","1","0.04400","ppm","37.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/06/2011","48-039-1004","1","0.04100","ppm","35.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/07/2011","48-039-1004","1","0.03700","ppm","31.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/08/2011","48-039-1004","1","0.04400","ppm","37.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/09/2011","48-039-1004","1","0.03900","ppm","33.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/10/2011","48-039-1004","1","0.03000","ppm","25.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/11/2011","48-039-1004","1","0.02800","ppm","24.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/12/2011","48-039-1004","1","0.05000","ppm","42.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/13/2011","48-039-1004","1","0.05200","ppm","44.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/14/2011","48-039-1004","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/15/2011","48-039-1004","1","0.04300","ppm","36.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/16/2011","48-039-1004","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"02/17/2011","48-039-1004","1","0.03500","ppm","30.00","24","100.0000","44201","Ozone","288","Houston-Baytown-Huntsville, TX","26420","Houston-Sugar Land-Baytown, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
